Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1920/07/08,1920,07,08,BOS192007080,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Friel,Bill Dinneen,(none),(none),,,Bill Friel;Bill Dinneen,,
1920/07/09,1920,07,09,BOS192007090,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Dinneen,Bill Friel,(none),(none),,,Bill Dinneen;Bill Friel,,
1920/07/10,1920,07,10,BOS192007100,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Friel,Bill Dinneen,(none),(none),,,Bill Friel;Bill Dinneen,,
1920/07/12,1920,07,12,BOS192007120,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Dinneen,Bill Friel,(none),(none),,,Bill Dinneen;Bill Friel,Ed Barrow ejected by Bill Dinneen,
1920/07/13,1920,07,13,BOS192007130,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Friel,Bill Dinneen,(none),(none),,,Bill Friel;Bill Dinneen,,
1920/07/14,1920,07,14,BOS192007141,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Bill Friel,(none),(none),,,Bill Dinneen;Bill Friel,Bullet Joe Bush ejected by Bill Friel,
1920/07/14,1920,07,14,BOS192007142,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Friel,Bill Dinneen,(none),(none),,,Bill Friel;Bill Dinneen,,
1920/07/16,1920,07,16,BOS192007160,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Bill Friel,(none),(none),,,Bill Dinneen;Bill Friel,,
1920/07/17,1920,07,17,BOS192007171,Cleveland Guardians,Boston Red Sox,Fenway Park,Tommy Connolly,Dick Nallin,(none),(none),,,Tommy Connolly;Dick Nallin,,
1920/07/17,1920,07,17,BOS192007172,Cleveland Guardians,Boston Red Sox,Fenway Park,Dick Nallin,Tommy Connolly,(none),(none),,,Dick Nallin;Tommy Connolly,,
1920/07/19,1920,07,19,BOS192007191,Cleveland Guardians,Boston Red Sox,Fenway Park,Tommy Connolly,Dick Nallin,(none),(none),,,Tommy Connolly;Dick Nallin,,
1920/07/19,1920,07,19,BOS192007192,Cleveland Guardians,Boston Red Sox,Fenway Park,Dick Nallin,Tommy Connolly,(none),(none),,,Dick Nallin;Tommy Connolly,,
1920/07/20,1920,07,20,BOS192007200,Cleveland Guardians,Boston Red Sox,Fenway Park,Tommy Connolly,Dick Nallin,(none),(none),,,Tommy Connolly;Dick Nallin,,
1920/07/21,1920,07,21,BOS192007210,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Tommy Connolly,(none),(none),,,Dick Nallin;Tommy Connolly,,
1920/07/22,1920,07,22,BOS192007220,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Dick Nallin,(none),(none),,,Tommy Connolly;Dick Nallin,,
1920/07/23,1920,07,23,BOS192007230,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Tommy Connolly,(none),(none),,,Dick Nallin;Tommy Connolly,,
1920/07/24,1920,07,24,BOS192007240,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Dick Nallin,(none),(none),,,Tommy Connolly;Dick Nallin,,
