Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1922/05/30,1922,05,30,BOS192205301,Washington Senators,Boston Red Sox,Fenway Park,Bill Dinneen,George Moriarty,(none),(none),,,Bill Dinneen;George Moriarty,,
1922/05/30,1922,05,30,BOS192205302,Washington Senators,Boston Red Sox,Fenway Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1922/05/31,1922,05,31,BOS192205311,Washington Senators,Boston Red Sox,Fenway Park,Bill Dinneen,George Moriarty,(none),(none),,,Bill Dinneen;George Moriarty,,
1922/05/31,1922,05,31,BOS192205312,Washington Senators,Boston Red Sox,Fenway Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1922/06/22,1922,06,22,BOS192206220,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/06/23,1922,06,23,BOS192206230,New York Yankees,Boston Red Sox,Fenway Park,George Hildebrand,Bill Dinneen,(none),(none),,,George Hildebrand;Bill Dinneen,,
1922/06/24,1922,06,24,BOS192206241,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/06/24,1922,06,24,BOS192206242,New York Yankees,Boston Red Sox,Fenway Park,George Hildebrand,Bill Dinneen,(none),(none),,,George Hildebrand;Bill Dinneen,,
1922/06/26,1922,06,26,BOS192206260,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/07/07,1922,07,07,BOS192207071,St.Louis Browns,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,Ken Williams ejected by Billy Evans,
1922/07/07,1922,07,07,BOS192207072,St.Louis Browns,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
1922/07/08,1922,07,08,BOS192207081,St.Louis Browns,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1922/07/08,1922,07,08,BOS192207082,St.Louis Browns,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
1922/07/10,1922,07,10,BOS192207101,St.Louis Browns,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1922/07/10,1922,07,10,BOS192207102,St.Louis Browns,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,Pat Collins ejected by George Hildebrand,
1922/07/11,1922,07,11,BOS192207110,Cleveland Guardians,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1922/07/12,1922,07,12,BOS192207120,Cleveland Guardians,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,Les Nunamaker ejected by George Hildebrand,
1922/07/13,1922,07,13,BOS192207130,Cleveland Guardians,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1922/07/14,1922,07,14,BOS192207140,Cleveland Guardians,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
1922/07/15,1922,07,15,BOS192207150,Detroit Tigers,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/07/17,1922,07,17,BOS192207170,Detroit Tigers,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/07/18,1922,07,18,BOS192207180,Detroit Tigers,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/07/19,1922,07,19,BOS192207190,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/07/20,1922,07,20,BOS192207200,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/07/21,1922,07,21,BOS192207210,Chicago White Sox,Boston Red Sox,Fenway Park,Brick Owens,Tommy Connolly,(none),(none),,,Brick Owens;Tommy Connolly,,
1922/07/22,1922,07,22,BOS192207220,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Brick Owens,(none),(none),,,Tommy Connolly;Brick Owens,,
1922/08/11,1922,08,11,BOS192208110,Washington Senators,Boston Red Sox,Fenway Park,Dick Nallin,Bill Guthrie,(none),(none),,,Dick Nallin;Bill Guthrie,Jimmy Burke ejected by Dick Nallin;Joe Judge ejected by Bill Guthrie,
1922/08/15,1922,08,15,BOS192208150,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Billy Evans,(none),(none),,,Dick Nallin;Billy Evans,Hugh Duffy ejected by Billy Evans;Dennis Farmington ejected by Billy Evans,
1922/08/16,1922,08,16,BOS192208160,Chicago White Sox,Boston Red Sox,Fenway Park,Billy Evans,Dick Nallin,(none),(none),,,Billy Evans;Dick Nallin,,
1922/08/17,1922,08,17,BOS192208171,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Billy Evans,(none),(none),,,Dick Nallin;Billy Evans,,
1922/08/17,1922,08,17,BOS192208172,Chicago White Sox,Boston Red Sox,Fenway Park,Billy Evans,Dick Nallin,(none),(none),,,Billy Evans;Dick Nallin,,
1922/08/19,1922,08,19,BOS192208191,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Dick Nallin,(none),(none),,,Billy Evans;Dick Nallin,,
1922/08/19,1922,08,19,BOS192208192,Detroit Tigers,Boston Red Sox,Fenway Park,Dick Nallin,Billy Evans,(none),(none),,,Dick Nallin;Billy Evans,,
1922/08/21,1922,08,21,BOS192208210,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Dick Nallin,(none),(none),,,Billy Evans;Dick Nallin,,
1922/08/22,1922,08,22,BOS192208220,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/08/23,1922,08,23,BOS192208230,St.Louis Browns,Boston Red Sox,Fenway Park,George Hildebrand,Bill Dinneen,(none),(none),,,George Hildebrand;Bill Dinneen,,
1922/08/24,1922,08,24,BOS192208240,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/08/25,1922,08,25,BOS192208250,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,George Hildebrand,(none),(none),,,Bill Dinneen;George Hildebrand,,
1922/09/08,1922,09,08,BOS192209080,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
1922/09/28,1922,09,28,BOS192209280,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Billy Evans,(none),(none),,,Tommy Connolly;Billy Evans,,
1922/09/29,1922,09,29,BOS192209290,New York Yankees,Boston Red Sox,Fenway Park,Billy Evans,Tommy Connolly,(none),(none),,,Billy Evans;Tommy Connolly,,
1922/09/30,1922,09,30,BOS192209300,New York Yankees,Boston Red Sox,Fenway Park,Billy Evans,Tommy Connolly,(none),(none),,,Billy Evans;Tommy Connolly,,
1922/04/16,1922,04,16,BRO192204160,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/04/20,1922,04,20,BRO192204200,New York Giants,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Barry McCormick,(none),Cy Pfirman,,,Cy Rigler;Barry McCormick;Cy Pfirman,,
1922/04/21,1922,04,21,BRO192204210,New York Giants,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Cy Pfirman,(none),Cy Rigler,,,Barry McCormick;Cy Pfirman;Cy Rigler,,
1922/04/22,1922,04,22,BRO192204220,New York Giants,Brooklyn Dodgers,Ebbets Field,Cy Pfirman,Cy Rigler,(none),Barry McCormick,,,Cy Pfirman;Cy Rigler;Barry McCormick,,
1922/04/23,1922,04,23,BRO192204230,New York Giants,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Barry McCormick,(none),Cy Pfirman,,,Cy Rigler;Barry McCormick;Cy Pfirman,,
1922/04/28,1922,04,28,BRO192204280,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Hank O'Day,(none),Bob Emslie,,,Bob Hart;Hank O'Day;Bob Emslie,,
1922/04/29,1922,04,29,BRO192204290,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Emslie,(none),Bob Hart,,,Hank O'Day;Bob Emslie;Bob Hart,,
1922/04/30,1922,04,30,BRO192204300,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bob Hart,Hank O'Day,(none),Bob Emslie,,,Bob Hart;Hank O'Day;Bob Emslie,,
1922/05/01,1922,05,01,BRO192205010,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Emslie,(none),(none),,,Hank O'Day;Bob Emslie,,
1922/05/06,1922,05,06,BRO192205060,Boston Braves,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,Tony Boeckel ejected by Bill Klem,
1922/05/07,1922,05,07,BRO192205070,Boston Braves,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/05/28,1922,05,28,BRO192205280,Boston Braves,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/05/29,1922,05,29,BRO192205290,Boston Braves,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Bob Emslie,(none),(none),,,Charlie Moran;Bob Emslie,,
1922/05/30,1922,05,30,BRO192205301,Boston Braves,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/05/30,1922,05,30,BRO192205302,Boston Braves,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/05/31,1922,05,31,BRO192205310,Boston Braves,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/03,1922,06,03,BRO192206031,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/03,1922,06,03,BRO192206032,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/04,1922,06,04,BRO192206040,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Bob Emslie,(none),(none),,,Bill Klem;Bob Emslie,,
1922/06/07,1922,06,07,BRO192206070,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/06/08,1922,06,08,BRO192206080,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/06/09,1922,06,09,BRO192206090,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/06/10,1922,06,10,BRO192206100,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/11,1922,06,11,BRO192206110,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,Charlie Hollocher ejected by Bill Klem,
1922/06/12,1922,06,12,BRO192206120,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/13,1922,06,13,BRO192206130,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/14,1922,06,14,BRO192206140,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/15,1922,06,15,BRO192206150,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/16,1922,06,16,BRO192206160,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/17,1922,06,17,BRO192206170,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/18,1922,06,18,BRO192206180,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Paul Sentell,(none),(none),,,Ernie Quigley;Paul Sentell,,
1922/06/19,1922,06,19,BRO192206190,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Frank Wilson,(none),(none),,,Paul Sentell;Frank Wilson,,
1922/06/21,1922,06,21,BRO192206210,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Frank Wilson,Paul Sentell,(none),(none),,,Frank Wilson;Paul Sentell,,
1922/06/25,1922,06,25,BRO192206250,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Paul Sentell,(none),(none),,,Barry McCormick;Paul Sentell,,
1922/07/02,1922,07,02,BRO192207021,Boston Braves,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/07/02,1922,07,02,BRO192207022,Boston Braves,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/07/16,1922,07,16,BRO192207160,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/07/25,1922,07,25,BRO192207250,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Cy Rigler,(none),(none),,,Barry McCormick;Cy Rigler,,
1922/07/26,1922,07,26,BRO192207260,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Barry McCormick,(none),(none),,,Cy Rigler;Barry McCormick,,
1922/07/28,1922,07,28,BRO192207280,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Cy Rigler,(none),(none),,,Barry McCormick;Cy Rigler,,
1922/07/29,1922,07,29,BRO192207290,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/07/30,1922,07,30,BRO192207300,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/07/31,1922,07,31,BRO192207310,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/08/03,1922,08,03,BRO192208030,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/08/04,1922,08,04,BRO192208040,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/08/05,1922,08,05,BRO192208051,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/08/05,1922,08,05,BRO192208052,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/08/06,1922,08,06,BRO192208060,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Hank O'Day,Bob Emslie,(none),(none),,,Hank O'Day;Bob Emslie,,
1922/08/08,1922,08,08,BRO192208080,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/08/09,1922,08,09,BRO192208090,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/08/10,1922,08,10,BRO192208100,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/08/11,1922,08,11,BRO192208110,New York Giants,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,Cozy Dolan ejected by Paul Sentell,
1922/08/12,1922,08,12,BRO192208121,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/08/12,1922,08,12,BRO192208122,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/08/13,1922,08,13,BRO192208130,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,Tommy Griffith ejected by Paul Sentell,
1922/08/30,1922,08,30,BRO192208300,New York Giants,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/08/31,1922,08,31,BRO192208310,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/09/01,1922,09,01,BRO192209010,New York Giants,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/09/03,1922,09,03,BRO192209030,Boston Braves,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Hart,(none),(none),,,Barry McCormick;Bob Hart,,
1922/09/09,1922,09,09,BRO192209090,Boston Braves,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bob Emslie,(none),(none),,,Paul Sentell;Bob Emslie,,
1922/09/10,1922,09,10,BRO192209100,New York Giants,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/09/13,1922,09,13,BRO192209130,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/09/14,1922,09,14,BRO192209140,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/09/15,1922,09,15,BRO192209150,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,Pat Moran ejected by Paul Sentell;Ivey Wingo ejected by Paul Sentell,
1922/09/16,1922,09,16,BRO192209161,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Frederick Westervelt,(none),(none),,,Bill Klem;Frederick Westervelt,,
1922/09/16,1922,09,16,BRO192209162,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Frederick Westervelt,(none),(none),,,Bill Klem;Frederick Westervelt,,
1922/09/17,1922,09,17,BRO192209170,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Frederick Westervelt,(none),(none),,,Bill Klem;Frederick Westervelt,,
1922/09/18,1922,09,18,BRO192209180,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Klem,Frederick Westervelt,(none),(none),,,Bill Klem;Frederick Westervelt,,
1922/09/20,1922,09,20,BRO192209201,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Frederick Westervelt,(none),(none),,,Cy Rigler;Frederick Westervelt,,
1922/09/20,1922,09,20,BRO192209202,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Frederick Westervelt,(none),(none),,,Cy Rigler;Frederick Westervelt,,
1922/09/21,1922,09,21,BRO192209210,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Frederick Westervelt,(none),(none),,,Cy Rigler;Frederick Westervelt,,
1922/09/22,1922,09,22,BRO192209220,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Frederick Westervelt,(none),(none),,,Cy Rigler;Frederick Westervelt,,
1922/09/23,1922,09,23,BRO192209231,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Ernie Quigley,(none),(none),,,Cy Rigler;Ernie Quigley,,
1922/09/23,1922,09,23,BRO192209232,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Cy Rigler,(none),(none),,,Ernie Quigley;Cy Rigler,,
1922/09/24,1922,09,24,BRO192209241,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Cy Rigler,Ernie Quigley,(none),(none),,,Cy Rigler;Ernie Quigley,,
1922/09/24,1922,09,24,BRO192209242,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Ernie Quigley,Cy Rigler,(none),(none),,,Ernie Quigley;Cy Rigler,,
1922/09/30,1922,09,30,BRO192209300,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Emslie,(none),(none),,,Barry McCormick;Bob Emslie,,
1922/10/01,1922,10,01,BRO192210010,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Barry McCormick,Bob Emslie,(none),(none),,,Barry McCormick;Bob Emslie,,
1922/04/21,1922,04,21,BSN192204210,Philadelphia Phillies,Boston Braves,Braves Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/04/22,1922,04,22,BSN192204220,Philadelphia Phillies,Boston Braves,Braves Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/04/24,1922,04,24,BSN192204240,Brooklyn Dodgers,Boston Braves,Braves Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/04/25,1922,04,25,BSN192204250,Brooklyn Dodgers,Boston Braves,Braves Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,Fred Mitchell ejected by Bob Hart,
1922/04/26,1922,04,26,BSN192204260,Brooklyn Dodgers,Boston Braves,Braves Field,Bob Hart,Hank O'Day,(none),(none),,,Bob Hart;Hank O'Day,,
1922/04/27,1922,04,27,BSN192204270,Brooklyn Dodgers,Boston Braves,Braves Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/04/28,1922,04,28,BSN192204280,New York Giants,Boston Braves,Braves Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/04/29,1922,04,29,BSN192204290,New York Giants,Boston Braves,Braves Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/05/01,1922,05,01,BSN192205010,New York Giants,Boston Braves,Braves Field,Paul Sentell,Bill Klem,(none),(none),,,Paul Sentell;Bill Klem,,
1922/05/02,1922,05,02,BSN192205020,New York Giants,Boston Braves,Braves Field,Bill Klem,Paul Sentell,(none),(none),,,Bill Klem;Paul Sentell,,
1922/06/01,1922,06,01,BSN192206010,New York Giants,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/02,1922,06,02,BSN192206020,New York Giants,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/03,1922,06,03,BSN192206030,New York Giants,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/05,1922,06,05,BSN192206050,St. Louis Cardinals,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/06,1922,06,06,BSN192206060,St. Louis Cardinals,Boston Braves,Braves Field,Paul Sentell,Barry McCormick,(none),(none),,,Paul Sentell;Barry McCormick,,
1922/06/07,1922,06,07,BSN192206070,St. Louis Cardinals,Boston Braves,Braves Field,Barry McCormick,Paul Sentell,(none),(none),,,Barry McCormick;Paul Sentell,,
1922/06/08,1922,06,08,BSN192206080,St. Louis Cardinals,Boston Braves,Braves Field,Paul Sentell,Barry McCormick,(none),(none),,,Paul Sentell;Barry McCormick,,
1922/06/09,1922,06,09,BSN192206090,Pittsburgh Pirates,Boston Braves,Braves Field,Barry McCormick,Paul Sentell,(none),(none),,,Barry McCormick;Paul Sentell,,
1922/06/10,1922,06,10,BSN192206100,Pittsburgh Pirates,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/12,1922,06,12,BSN192206120,Pittsburgh Pirates,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,,
1922/06/13,1922,06,13,BSN192206130,Pittsburgh Pirates,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/14,1922,06,14,BSN192206140,Chicago Cubs,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/16,1922,06,16,BSN192206160,Chicago Cubs,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,Tony Boeckel ejected by Bill Klem;Fred Mitchell ejected by Bill Klem,
1922/06/17,1922,06,17,BSN192206171,Chicago Cubs,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/17,1922,06,17,BSN192206172,Chicago Cubs,Boston Braves,Braves Field,Bill Klem,Cy Pfirman,(none),(none),,,Bill Klem;Cy Pfirman,,
1922/06/20,1922,06,20,BSN192206200,Cincinnati Reds,Boston Braves,Braves Field,Hank O'Day,Bob Hart,(none),(none),,,Hank O'Day;Bob Hart,,
1922/06/27,1922,06,27,BSN192206270,Brooklyn Dodgers,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/28,1922,06,28,BSN192206280,Brooklyn Dodgers,Boston Braves,Braves Field,Charlie Moran,Ernie Quigley,(none),(none),,,Charlie Moran;Ernie Quigley,Mickey O'Neil ejected by Charlie Moran,
1922/06/29,1922,06,29,BSN192206290,Brooklyn Dodgers,Boston Braves,Braves Field,Ernie Quigley,Charlie Moran,(none),(none),,,Ernie Quigley;Charlie Moran,,
1922/06/30,1922,06,30,BSN192206300,Brooklyn Dodgers,Boston Braves,Braves Field,Barry McCormick,Paul Sentell,(none),(none),,,Barry McCormick;Paul Sentell,,
