Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1913/04/14,1913,04,14,BOS191304140,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Bob Hart,(none),(none),,,Bill Dinneen;Bob Hart,,
1913/04/15,1913,04,15,BOS191304150,New York Yankees,Boston Red Sox,Fenway Park,Bob Hart,Bill Dinneen,(none),(none),,,Bob Hart;Bill Dinneen,,
1913/06/03,1913,06,03,BOS191306030,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Eugene McGreevy,(none),(none),,,Tommy Connolly;Eugene McGreevy,,
1913/06/04,1913,06,04,BOS191306040,Chicago White Sox,Boston Red Sox,Fenway Park,Eugene McGreevy,Tommy Connolly,(none),(none),,,Eugene McGreevy;Tommy Connolly,,
1913/06/05,1913,06,05,BOS191306050,Chicago White Sox,Boston Red Sox,Fenway Park,Tommy Connolly,Eugene McGreevy,(none),(none),,,Tommy Connolly;Eugene McGreevy,,
1913/06/06,1913,06,06,BOS191306060,Chicago White Sox,Boston Red Sox,Fenway Park,Eugene McGreevy,Tommy Connolly,(none),(none),,,Eugene McGreevy;Tommy Connolly,,
1913/06/10,1913,06,10,BOS191306100,Cleveland Indians,Boston Red Sox,Fenway Park,Eugene McGreevy,Tommy Connolly,(none),(none),,,Eugene McGreevy;Tommy Connolly,,
1913/06/17,1913,06,17,BOS191306171,Detroit Tigers,Boston Red Sox,Fenway Park,Jack Egan,Billy Evans,(none),(none),,,Jack Egan;Billy Evans,,
1913/06/17,1913,06,17,BOS191306172,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Bob Hart,(none),(none),,,Billy Evans;Bob Hart,,
1913/06/18,1913,06,18,BOS191306180,Detroit Tigers,Boston Red Sox,Fenway Park,Jack Egan,Billy Evans,(none),(none),,,Jack Egan;Billy Evans,,
1913/06/19,1913,06,19,BOS191306190,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Jack Egan,(none),(none),,,Billy Evans;Jack Egan,,
1913/06/25,1913,06,25,BOS191306250,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Bob Hart,(none),(none),,,Bill Dinneen;Bob Hart,,
1913/06/27,1913,06,27,BOS191306271,New York Yankees,Boston Red Sox,Fenway Park,Bob Hart,Bill Dinneen,(none),(none),,,Bob Hart;Bill Dinneen,,
1913/06/27,1913,06,27,BOS191306272,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Bob Hart,(none),(none),,,Bill Dinneen;Bob Hart,,
1913/06/28,1913,06,28,BOS191306281,New York Yankees,Boston Red Sox,Fenway Park,Bob Hart,Bill Dinneen,(none),(none),,,Bob Hart;Bill Dinneen,,
1913/06/28,1913,06,28,BOS191306282,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Bob Hart,(none),(none),,,Bill Dinneen;Bob Hart,,
1913/07/25,1913,07,25,BOS191307250,Chicago White Sox,Boston Red Sox,Fenway Park,Silk O'Loughlin,Jack Sheridan,(none),(none),,,Silk O'Loughlin;Jack Sheridan,Ray Schalk ejected by Silk O'Loughlin,
1913/07/26,1913,07,26,BOS191307260,Chicago White Sox,Boston Red Sox,Fenway Park,Silk O'Loughlin,Jack Sheridan,(none),(none),,,Silk O'Loughlin;Jack Sheridan,,
1913/07/29,1913,07,29,BOS191307291,Chicago White Sox,Boston Red Sox,Fenway Park,Silk O'Loughlin,Jack Sheridan,(none),(none),,,Silk O'Loughlin;Jack Sheridan,,
1913/07/29,1913,07,29,BOS191307292,Chicago White Sox,Boston Red Sox,Fenway Park,Silk O'Loughlin,Jack Sheridan,(none),(none),,,Silk O'Loughlin;Jack Sheridan,,
1913/08/08,1913,08,08,BOS191308080,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Jack Egan,(none),(none),,,Bill Dinneen;Jack Egan,,
1913/08/09,1913,08,09,BOS191308090,Detroit Tigers,Boston Red Sox,Fenway Park,Jack Egan,Bill Dinneen,(none),(none),,,Jack Egan;Bill Dinneen,,
1913/08/11,1913,08,11,BOS191308110,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Jack Egan,(none),(none),,,Bill Dinneen;Jack Egan,,
1913/09/01,1913,09,01,BOS191309011,New York Yankees,Boston Red Sox,Fenway Park,Jack Egan,Tommy Connolly,(none),(none),,,Jack Egan;Tommy Connolly,,
1913/09/01,1913,09,01,BOS191309012,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Jack Egan,(none),(none),,,Tommy Connolly;Jack Egan,,
1913/09/02,1913,09,02,BOS191309020,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Jack Egan,(none),(none),,,Tommy Connolly;Jack Egan,,
1913/09/03,1913,09,03,BOS191309030,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,Jack Egan,(none),(none),,,Tommy Connolly;Jack Egan,,
1913/09/10,1913,09,10,BOS191309100,Detroit Tigers,Boston Red Sox,Fenway Park,Silk O'Loughlin,George Hildebrand,(none),(none),,,Silk O'Loughlin;George Hildebrand,,
1913/09/11,1913,09,11,BOS191309110,Detroit Tigers,Boston Red Sox,Fenway Park,George Hildebrand,Silk O'Loughlin,(none),(none),,,George Hildebrand;Silk O'Loughlin,,
1913/09/12,1913,09,12,BOS191309120,Detroit Tigers,Boston Red Sox,Fenway Park,Silk O'Loughlin,George Hildebrand,(none),(none),,,Silk O'Loughlin;George Hildebrand,,
1913/09/23,1913,09,23,BOS191309231,Chicago White Sox,Boston Red Sox,Fenway Park,Charlie Ferguson,Billy Evans,(none),(none),,,Charlie Ferguson;Billy Evans,,
