Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1930/04/15,1930,04,15,BOS193004150,Washington Senators,Boston Red Sox,Fenway Park,Brick Owens,George Moriarty,(none),Bick Campbell,,,Brick Owens;George Moriarty;Bick Campbell,,
1930/04/16,1930,04,16,BOS193004160,Washington Senators,Boston Red Sox,Fenway Park,George Moriarty,Bick Campbell,(none),Brick Owens,,,George Moriarty;Bick Campbell;Brick Owens,,
1930/04/19,1930,04,19,BOS193004191,New York Yankees,Boston Red Sox,Braves Field,Bick Campbell,Brick Owens,(none),George Moriarty,,,Bick Campbell;Brick Owens;George Moriarty,,
1930/04/19,1930,04,19,BOS193004192,New York Yankees,Boston Red Sox,Braves Field,Brick Owens,George Moriarty,(none),Bick Campbell,,,Brick Owens;George Moriarty;Bick Campbell,,
1930/04/20,1930,04,20,BOS193004200,Philadelphia Athletics,Boston Red Sox,Braves Field,George Moriarty,Bick Campbell,(none),Brick Owens,,,George Moriarty;Bick Campbell;Brick Owens,,
1930/04/28,1930,04,28,BOS193004280,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill McGowan,Roy Van Graflan,(none),Tommy Connolly,,,Bill McGowan;Roy Van Graflan;Tommy Connolly,,
1930/04/29,1930,04,29,BOS193004290,Philadelphia Athletics,Boston Red Sox,Fenway Park,Roy Van Graflan,Tommy Connolly,(none),Bill McGowan,,,Roy Van Graflan;Tommy Connolly;Bill McGowan,,
1930/04/30,1930,04,30,BOS193004300,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill McGowan,Tommy Connolly,(none),Roy Van Graflan,,,Bill McGowan;Tommy Connolly;Roy Van Graflan,,
1930/05/02,1930,05,02,BOS193005020,Cleveland Guardians,Boston Red Sox,Fenway Park,Roy Van Graflan,Bill McGowan,(none),Tommy Connolly,,,Roy Van Graflan;Bill McGowan;Tommy Connolly,,
1930/05/03,1930,05,03,BOS193005030,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill McGowan,Tommy Connolly,(none),Roy Van Graflan,,,Bill McGowan;Tommy Connolly;Roy Van Graflan,,
1930/05/04,1930,05,04,BOS193005040,Cleveland Guardians,Boston Red Sox,Braves Field,Roy Van Graflan,Tommy Connolly,(none),Bill McGowan,,,Roy Van Graflan;Tommy Connolly;Bill McGowan,,
1930/05/05,1930,05,05,BOS193005050,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill McGowan,Roy Van Graflan,(none),Tommy Connolly,,,Bill McGowan;Roy Van Graflan;Tommy Connolly,,
1930/05/06,1930,05,06,BOS193005060,Chicago White Sox,Boston Red Sox,Fenway Park,Roy Van Graflan,Tommy Connolly,(none),Bill McGowan,,,Roy Van Graflan;Tommy Connolly;Bill McGowan,,
1930/05/07,1930,05,07,BOS193005070,Chicago White Sox,Boston Red Sox,Fenway Park,Bill McGowan,Tommy Connolly,(none),Roy Van Graflan,,,Bill McGowan;Tommy Connolly;Roy Van Graflan,Jimmy Moore ejected by Tommy Connolly;Mike Kelly ejected by Tommy Connolly,
1930/05/08,1930,05,08,BOS193005080,Chicago White Sox,Boston Red Sox,Fenway Park,Roy Van Graflan,Bill McGowan,(none),Tommy Connolly,,,Roy Van Graflan;Bill McGowan;Tommy Connolly,Donie Bush ejected by Roy Van Graflan,
1930/05/09,1930,05,09,BOS193005090,St.Louis Browns,Boston Red Sox,Fenway Park,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1930/05/10,1930,05,10,BOS193005100,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1930/05/12,1930,05,12,BOS193005120,St.Louis Browns,Boston Red Sox,Fenway Park,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1930/05/13,1930,05,13,BOS193005130,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1930/05/16,1930,05,16,BOS193005160,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Harry Geisel,,,Bill Dinneen;Dick Nallin;Harry Geisel,,
1930/05/17,1930,05,17,BOS193005170,New York Yankees,Boston Red Sox,Fenway Park,Dick Nallin,Harry Geisel,(none),Bill Dinneen,,,Dick Nallin;Harry Geisel;Bill Dinneen,,
1930/05/18,1930,05,18,BOS193005180,New York Yankees,Boston Red Sox,Braves Field,Harry Geisel,Bill Dinneen,(none),Dick Nallin,,,Harry Geisel;Bill Dinneen;Dick Nallin,,
1930/05/20,1930,05,20,BOS193005200,New York Yankees,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Harry Geisel,,,Bill Dinneen;Dick Nallin;Harry Geisel,,
1930/06/19,1930,06,19,BOS193006190,St.Louis Browns,Boston Red Sox,Fenway Park,Bick Campbell,Harry Geisel,(none),Tommy Connolly,,,Bick Campbell;Harry Geisel;Tommy Connolly,,
1930/06/20,1930,06,20,BOS193006200,St.Louis Browns,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/06/21,1930,06,21,BOS193006210,St.Louis Browns,Boston Red Sox,Fenway Park,Bick Campbell,Harry Geisel,(none),Tommy Connolly,,,Bick Campbell;Harry Geisel;Tommy Connolly,,
1930/06/22,1930,06,22,BOS193006221,Detroit Tigers,Boston Red Sox,Braves Field,Harry Geisel,Bick Campbell,(none),Tommy Connolly,,,Harry Geisel;Bick Campbell;Tommy Connolly,,
1930/06/22,1930,06,22,BOS193006222,Detroit Tigers,Boston Red Sox,Braves Field,Bick Campbell,Tommy Connolly,(none),Harry Geisel,,,Bick Campbell;Tommy Connolly;Harry Geisel,,
1930/06/23,1930,06,23,BOS193006230,Detroit Tigers,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/06/24,1930,06,24,BOS193006241,Detroit Tigers,Boston Red Sox,Fenway Park,Bick Campbell,Harry Geisel,(none),Tommy Connolly,,,Bick Campbell;Harry Geisel;Tommy Connolly,,
1930/06/24,1930,06,24,BOS193006242,Detroit Tigers,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,Charlie Berry ejected by Harry Geisel,
1930/06/26,1930,06,26,BOS193006260,Chicago White Sox,Boston Red Sox,Fenway Park,Roy Van Graflan,Bill Dinneen,(none),Dick Nallin,,,Roy Van Graflan;Bill Dinneen;Dick Nallin,,
1930/06/28,1930,06,28,BOS193006280,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Roy Van Graflan,,,Bill Dinneen;Dick Nallin;Roy Van Graflan,,
1930/06/29,1930,06,29,BOS193006291,Chicago White Sox,Boston Red Sox,Braves Field,Dick Nallin,Roy Van Graflan,(none),Bill Dinneen,,,Dick Nallin;Roy Van Graflan;Bill Dinneen,,
1930/06/29,1930,06,29,BOS193006292,Chicago White Sox,Boston Red Sox,Braves Field,Roy Van Graflan,Bill Dinneen,(none),Dick Nallin,,,Roy Van Graflan;Bill Dinneen;Dick Nallin,,
1930/06/30,1930,06,30,BOS193006300,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Roy Van Graflan,,,Bill Dinneen;Dick Nallin;Roy Van Graflan,,
1930/07/01,1930,07,01,BOS193007010,Cleveland Guardians,Boston Red Sox,Fenway Park,Dick Nallin,Roy Van Graflan,(none),Bill Dinneen,,,Dick Nallin;Roy Van Graflan;Bill Dinneen,,
1930/07/02,1930,07,02,BOS193007020,Cleveland Guardians,Boston Red Sox,Fenway Park,Roy Van Graflan,Bill Dinneen,(none),Dick Nallin,,,Roy Van Graflan;Bill Dinneen;Dick Nallin,,
1930/07/04,1930,07,04,BOS193007041,Philadelphia Athletics,Boston Red Sox,Braves Field,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/07/04,1930,07,04,BOS193007042,Philadelphia Athletics,Boston Red Sox,Braves Field,Bick Campbell,Harry Geisel,(none),Tommy Connolly,,,Bick Campbell;Harry Geisel;Tommy Connolly,,
1930/07/05,1930,07,05,BOS193007050,Philadelphia Athletics,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/07/06,1930,07,06,BOS193007060,Philadelphia Athletics,Boston Red Sox,Braves Field,Bick Campbell,Tommy Connolly,(none),Harry Geisel,,,Bick Campbell;Tommy Connolly;Harry Geisel,,
1930/07/07,1930,07,07,BOS193007070,Washington Senators,Boston Red Sox,Fenway Park,Harry Geisel,Bick Campbell,(none),Tommy Connolly,,,Harry Geisel;Bick Campbell;Tommy Connolly,,
1930/07/08,1930,07,08,BOS193007080,Washington Senators,Boston Red Sox,Fenway Park,Bick Campbell,Tommy Connolly,(none),Harry Geisel,,,Bick Campbell;Tommy Connolly;Harry Geisel,,
1930/07/09,1930,07,09,BOS193007091,Washington Senators,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/07/09,1930,07,09,BOS193007092,Washington Senators,Boston Red Sox,Fenway Park,Bick Campbell,Harry Geisel,(none),Tommy Connolly,,,Bick Campbell;Harry Geisel;Tommy Connolly,,
1930/07/10,1930,07,10,BOS193007100,Washington Senators,Boston Red Sox,Fenway Park,Harry Geisel,Tommy Connolly,(none),Bick Campbell,,,Harry Geisel;Tommy Connolly;Bick Campbell,,
1930/07/30,1930,07,30,BOS193007301,New York Yankees,Boston Red Sox,Fenway Park,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1930/07/30,1930,07,30,BOS193007302,New York Yankees,Boston Red Sox,Fenway Park,George Hildebrand,Bill Guthrie,(none),Red Ormsby,,,George Hildebrand;Bill Guthrie;Red Ormsby,,
1930/07/31,1930,07,31,BOS193007310,New York Yankees,Boston Red Sox,Fenway Park,Red Ormsby,Bill Guthrie,(none),George Hildebrand,,,Red Ormsby;Bill Guthrie;George Hildebrand,,
1930/08/01,1930,08,01,BOS193008010,New York Yankees,Boston Red Sox,Fenway Park,Bill Guthrie,George Hildebrand,(none),Red Ormsby,,,Bill Guthrie;George Hildebrand;Red Ormsby,,
1930/08/08,1930,08,08,BOS193008080,Detroit Tigers,Boston Red Sox,Fenway Park,George Moriarty,Harry Geisel,(none),Brick Owens,,,George Moriarty;Harry Geisel;Brick Owens,,
1930/08/09,1930,08,09,BOS193008090,Detroit Tigers,Boston Red Sox,Fenway Park,Harry Geisel,Brick Owens,(none),George Moriarty,,,Harry Geisel;Brick Owens;George Moriarty,,
1930/08/11,1930,08,11,BOS193008110,Detroit Tigers,Boston Red Sox,Fenway Park,George Moriarty,Harry Geisel,(none),Brick Owens,,,George Moriarty;Harry Geisel;Brick Owens,,
1930/08/12,1930,08,12,BOS193008120,St.Louis Browns,Boston Red Sox,Fenway Park,Harry Geisel,Brick Owens,(none),George Moriarty,,,Harry Geisel;Brick Owens;George Moriarty,,
1930/08/13,1930,08,13,BOS193008130,St.Louis Browns,Boston Red Sox,Fenway Park,Brick Owens,George Moriarty,(none),Harry Geisel,,,Brick Owens;George Moriarty;Harry Geisel,,
1930/08/14,1930,08,14,BOS193008140,St.Louis Browns,Boston Red Sox,Fenway Park,George Moriarty,Harry Geisel,(none),Brick Owens,,,George Moriarty;Harry Geisel;Brick Owens,,
1930/08/17,1930,08,17,BOS193008171,Cleveland Guardians,Boston Red Sox,Braves Field,Dick Nallin,Bick Campbell,(none),Bill Dinneen,,,Dick Nallin;Bick Campbell;Bill Dinneen,,
1930/08/17,1930,08,17,BOS193008172,Cleveland Guardians,Boston Red Sox,Braves Field,Bick Campbell,Bill Dinneen,(none),Dick Nallin,,,Bick Campbell;Bill Dinneen;Dick Nallin,,
1930/08/19,1930,08,19,BOS193008191,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Bick Campbell,,,Bill Dinneen;Dick Nallin;Bick Campbell,,
1930/08/19,1930,08,19,BOS193008192,Cleveland Guardians,Boston Red Sox,Fenway Park,Dick Nallin,Bick Campbell,(none),Bill Dinneen,,,Dick Nallin;Bick Campbell;Bill Dinneen,,
1930/08/21,1930,08,21,BOS193008210,Chicago White Sox,Boston Red Sox,Fenway Park,Bick Campbell,Bill Dinneen,(none),Dick Nallin,,,Bick Campbell;Bill Dinneen;Dick Nallin,,
1930/08/22,1930,08,22,BOS193008220,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),Bick Campbell,,,Bill Dinneen;Dick Nallin;Bick Campbell,,
1930/08/24,1930,08,24,BOS193008242,Chicago White Sox,Boston Red Sox,Braves Field,Bick Campbell,Bill Dinneen,(none),Dick Nallin,,,Bick Campbell;Bill Dinneen;Dick Nallin,,
1930/08/28,1930,08,28,BOS193008280,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill Guthrie,George Hildebrand,(none),George Moriarty,,,Bill Guthrie;George Hildebrand;George Moriarty,,
1930/08/30,1930,08,30,BOS193008300,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Hildebrand,George Moriarty,(none),Bill Guthrie,,,George Hildebrand;George Moriarty;Bill Guthrie,,
