Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1960/04/19,1960,04,19,BAL196004190,Washington Senators,Baltimore Orioles,Memorial Stadium,Larry Napp,Frank Umont,Cal Drummond,Charlie Berry,,,Larry Napp;Frank Umont;Cal Drummond;Charlie Berry,Paul Richards ejected by Larry Napp,
1960/04/20,1960,04,20,BAL196004200,Washington Senators,Baltimore Orioles,Memorial Stadium,Frank Umont,Cal Drummond,Charlie Berry,Larry Napp,,,Frank Umont;Cal Drummond;Charlie Berry;Larry Napp,,
1960/04/21,1960,04,21,BAL196004210,Washington Senators,Baltimore Orioles,Memorial Stadium,Cal Drummond,Charlie Berry,Larry Napp,Frank Umont,,,Cal Drummond;Charlie Berry;Larry Napp;Frank Umont,,
1960/04/27,1960,04,27,BAL196004270,Boston Red Sox,Baltimore Orioles,Memorial Stadium,Eddie Hurley,Hank Soar,Red Flaherty,Bob Stewart,,,Eddie Hurley;Hank Soar;Red Flaherty;Bob Stewart,,
1960/04/28,1960,04,28,BAL196004280,Boston Red Sox,Baltimore Orioles,Memorial Stadium,Hank Soar,Red Flaherty,Bob Stewart,Eddie Hurley,,,Hank Soar;Red Flaherty;Bob Stewart;Eddie Hurley,,
1960/04/29,1960,04,29,BAL196004290,New York Yankees,Baltimore Orioles,Memorial Stadium,Red Flaherty,Bob Stewart,Eddie Hurley,Hank Soar,,,Red Flaherty;Bob Stewart;Eddie Hurley;Hank Soar,,
1960/04/30,1960,04,30,BAL196004300,New York Yankees,Baltimore Orioles,Memorial Stadium,Bob Stewart,Eddie Hurley,Hank Soar,Red Flaherty,,,Bob Stewart;Eddie Hurley;Hank Soar;Red Flaherty,,
1960/05/01,1960,05,01,BAL196005010,New York Yankees,Baltimore Orioles,Memorial Stadium,Eddie Hurley,Hank Soar,Red Flaherty,Bob Stewart,,,Eddie Hurley;Hank Soar;Red Flaherty;Bob Stewart,,
1960/05/02,1960,05,02,BAL196005020,Chicago White Sox,Baltimore Orioles,Memorial Stadium,Ed Runge,John Rice,Al Smith,Joe Paparella,,,Ed Runge;John Rice;Al Smith;Joe Paparella,,
1960/05/03,1960,05,03,BAL196005030,Chicago White Sox,Baltimore Orioles,Memorial Stadium,John Rice,Al Smith,Joe Paparella,Ed Runge,,,John Rice;Al Smith;Joe Paparella;Ed Runge,,
1960/05/04,1960,05,04,BAL196005040,Chicago White Sox,Baltimore Orioles,Memorial Stadium,Al Smith,Joe Paparella,Ed Runge,John Rice,,,Al Smith;Joe Paparella;Ed Runge;John Rice,Sherm Lollar ejected by Al Smith;Al Lopez ejected by Al Smith,
1960/05/05,1960,05,05,BAL196005050,Cleveland Indians,Baltimore Orioles,Memorial Stadium,Joe Paparella,Ed Runge,John Rice,Al Smith,,,Joe Paparella;Ed Runge;John Rice;Al Smith,Paul Richards ejected by Al Smith,
1960/05/06,1960,05,06,BAL196005060,Cleveland Indians,Baltimore Orioles,Memorial Stadium,Ed Runge,John Rice,Al Smith,Joe Paparella,,,Ed Runge;John Rice;Al Smith;Joe Paparella,Joe Gordon ejected by Ed Runge;Mel Harder ejected by Ed Runge,
1960/05/07,1960,05,07,BAL196005070,Cleveland Indians,Baltimore Orioles,Memorial Stadium,John Rice,Al Smith,Joe Paparella,Ed Runge,,,John Rice;Al Smith;Joe Paparella;Ed Runge,,
1960/05/10,1960,05,10,BAL196005100,Kansas City Athletics,Baltimore Orioles,Memorial Stadium,Charlie Berry,Larry Napp,Frank Umont,Cal Drummond,,,Charlie Berry;Larry Napp;Frank Umont;Cal Drummond,,
1960/05/11,1960,05,11,BAL196005110,Kansas City Athletics,Baltimore Orioles,Memorial Stadium,Larry Napp,Frank Umont,Cal Drummond,Charlie Berry,,,Larry Napp;Frank Umont;Cal Drummond;Charlie Berry,,
1960/05/29,1960,05,29,BAL196005291,Boston Red Sox,Baltimore Orioles,Memorial Stadium,Nestor Chylak,Bill McKinley,Johnny Stevens,Jim Honochick,,,Nestor Chylak;Bill McKinley;Johnny Stevens;Jim Honochick,,
1960/05/29,1960,05,29,BAL196005292,Boston Red Sox,Baltimore Orioles,Memorial Stadium,Bill McKinley,Johnny Stevens,Jim Honochick,Nestor Chylak,,,Bill McKinley;Johnny Stevens;Jim Honochick;Nestor Chylak,,
1960/05/30,1960,05,30,BAL196005301,Boston Red Sox,Baltimore Orioles,Memorial Stadium,Johnny Stevens,Jim Honochick,Nestor Chylak,Bill McKinley,,,Johnny Stevens;Jim Honochick;Nestor Chylak;Bill McKinley,,
