Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1950/04/18,1950,04,18,BOS195004180,New York Yankees,Boston Red Sox,Fenway Park,Bill McGowan,Bill McKinley,Eddie Hurley,Jim Honochick,,,Bill McGowan;Bill McKinley;Eddie Hurley;Jim Honochick,,
1950/04/19,1950,04,19,BOS195004192,New York Yankees,Boston Red Sox,Fenway Park,Eddie Hurley,Jim Honochick,Bill McGowan,Bill McKinley,,,Eddie Hurley;Jim Honochick;Bill McGowan;Bill McKinley,,
1950/04/28,1950,04,28,BOS195004280,Philadelphia Athletics,Boston Red Sox,Fenway Park,Cal Hubbard,Eddie Rommel,(none),Joe Paparella,,,Cal Hubbard;Eddie Rommel;Joe Paparella,,
1950/04/30,1950,04,30,BOS195004301,Philadelphia Athletics,Boston Red Sox,Fenway Park,Eddie Rommel,Joe Paparella,(none),Cal Hubbard,,,Eddie Rommel;Joe Paparella;Cal Hubbard,,
1950/04/30,1950,04,30,BOS195004302,Philadelphia Athletics,Boston Red Sox,Fenway Park,Joe Paparella,Cal Hubbard,(none),Eddie Rommel,,,Joe Paparella;Cal Hubbard;Eddie Rommel,,
1950/05/02,1950,05,02,BOS195005020,Cleveland Guardians,Boston Red Sox,Fenway Park,Art Passarella,Hank Soar,Charlie Berry,Jim Boyer,,,Art Passarella;Hank Soar;Charlie Berry;Jim Boyer,,
1950/05/03,1950,05,03,BOS195005030,Cleveland Guardians,Boston Red Sox,Fenway Park,Hank Soar,Charlie Berry,Jim Boyer,Art Passarella,,,Hank Soar;Charlie Berry;Jim Boyer;Art Passarella,,
1950/05/04,1950,05,04,BOS195005040,Cleveland Guardians,Boston Red Sox,Fenway Park,Charlie Berry,Jim Boyer,Art Passarella,Hank Soar,,,Charlie Berry;Jim Boyer;Art Passarella;Hank Soar,,
1950/05/05,1950,05,05,BOS195005050,Chicago White Sox,Boston Red Sox,Fenway Park,Jim Boyer,Art Passarella,Hank Soar,Charlie Berry,,,Jim Boyer;Art Passarella;Hank Soar;Charlie Berry,,
1950/05/06,1950,05,06,BOS195005060,Chicago White Sox,Boston Red Sox,Fenway Park,Art Passarella,Hank Soar,Charlie Berry,Jim Boyer,,,Art Passarella;Hank Soar;Charlie Berry;Jim Boyer,,
1950/05/07,1950,05,07,BOS195005071,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Grieve,Johnny Stevens,(none),Bill Summers,,,Bill Grieve;Johnny Stevens;Bill Summers,,
1950/05/07,1950,05,07,BOS195005072,St.Louis Browns,Boston Red Sox,Fenway Park,Johnny Stevens,Bill Summers,(none),Bill Grieve,,,Johnny Stevens;Bill Summers;Bill Grieve,,
1950/05/09,1950,05,09,BOS195005090,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Summers,Bill Grieve,(none),Johnny Stevens,,,Bill Summers;Bill Grieve;Johnny Stevens,,
