Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1943/07/13,1943,07,13,ALS194307130,National League All Stars,American League All Stars,Shibe Park,Eddie Rommel,Jocko Conlan,Joe Rue,Tom Dunn,,,Eddie Rommel;Jocko Conlan;Joe Rue;Tom Dunn,,Home: Tom Dunn 5th inning;FirstBase: Joe Rue 5th inning;SecondBase: Jocko Conlan 5th inning;ThirdBase: Eddie Rommel 5th inning
1943/08/01,1943,08,01,ASW194308010,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Harry Walker,Frank Forbes,,,Virgil Blueitt;Fred McCreary;Harry Walker;Frank Forbes,,
1943/09/26,1943,09,26,SAS194309260,North All Stars,South All Stars,Pelican Stadium,,,,,,,,,
1944/07/11,1944,07,11,NLS194407110,American League All Stars,National League All Stars,Forbes Field,George Barr,Charlie Berry,Ziggy Sears,Cal Hubbard,,,George Barr;Charlie Berry;Ziggy Sears;Cal Hubbard,,Home: Cal Hubbard 5th inning;FirstBase: Ziggy Sears 5th inning;SecondBase: Charlie Berry 5th inning;ThirdBase: George Barr 5th inning
1944/08/13,1944,08,13,ASW194408130,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Bill Moore,Phil Cockrell,,,Virgil Blueitt;Fred McCreary;Bill Moore;Phil Cockrell,,
1944/10/01,1944,10,01,SAS194410010,North All Stars,South All Stars,Pelican Stadium, Barrow,Ted Lewis, Augustine, Jones,,, Barrow;Ted Lewis; Augustine; Jones,,
1945/07/29,1945,07,29,ASW194507290,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Harry Ward,harrm201,,,Virgil Blueitt;Fred McCreary;Harry Ward;harrm201,,
1945/10/07,1945,10,07,SAS194510070,North All Stars,South All Stars,Pelican Stadium,Ted Lewis, Barrow, Jones, Augustine,,,Ted Lewis; Barrow; Jones; Augustine,,
1946/07/09,1946,07,09,ALS194607090,National League All Stars,American League All Stars,Fenway Park,Bill Summers,Dusty Boggess,Eddie Rommel,Larry Goetz,,,Bill Summers;Dusty Boggess;Eddie Rommel;Larry Goetz,,Home: Larry Goetz 5th inning;FirstBase: Eddie Rommel 5th inning;SecondBase: Dusty Boggess 5th inning;ThirdBase: Bill Summers 5th inning
1946/08/15,1946,08,15,ASE194608150,West All Stars,East All Stars,Griffith Stadium,Fred McCreary,cockp201, Kent, Orenfield,,,Fred McCreary;cockp201; Kent; Orenfield,,
