Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1970/04/13,1970,04,13,ATL197004130,San Francisco Giants,Atlanta Braves,Atlanta-Fulton County Stadium,Nick Colosi,Tom Gorman,Mel Steiner,Bill Williams,,,Nick Colosi;Tom Gorman;Mel Steiner;Bill Williams,,
1970/04/14,1970,04,14,ATL197004140,San Francisco Giants,Atlanta Braves,Atlanta-Fulton County Stadium,Tom Gorman,Mel Steiner,Bill Williams,Nick Colosi,,,Tom Gorman;Mel Steiner;Bill Williams;Nick Colosi,,
1970/04/15,1970,04,15,ATL197004150,San Diego Padres,Atlanta Braves,Atlanta-Fulton County Stadium,Mel Steiner,Bill Williams,Nick Colosi,Tom Gorman,,,Mel Steiner;Bill Williams;Nick Colosi;Tom Gorman,,
1970/04/16,1970,04,16,ATL197004160,San Diego Padres,Atlanta Braves,Atlanta-Fulton County Stadium,Bill Williams,Nick Colosi,Tom Gorman,Mel Steiner,,,Bill Williams;Nick Colosi;Tom Gorman;Mel Steiner,,
1970/04/18,1970,04,18,ATL197004180,Los Angeles Dodgers,Atlanta Braves,Atlanta-Fulton County Stadium,Tony Venzon,Frank Secory,Bob Engel,Harry Wendelstedt,,,Tony Venzon;Frank Secory;Bob Engel;Harry Wendelstedt,,
1970/04/19,1970,04,19,ATL197004190,Los Angeles Dodgers,Atlanta Braves,Atlanta-Fulton County Stadium,Frank Secory,Bob Engel,Harry Wendelstedt,Tony Venzon,,,Frank Secory;Bob Engel;Harry Wendelstedt;Tony Venzon,,
1970/04/20,1970,04,20,ATL197004200,Cincinnati Reds,Atlanta Braves,Atlanta-Fulton County Stadium,Paul Pryor,Dick Stello,(none),Al Barlick,,,Paul Pryor;Dick Stello;Al Barlick,,
1970/04/21,1970,04,21,ATL197004210,Cincinnati Reds,Atlanta Braves,Atlanta-Fulton County Stadium,Dick Stello,Al Barlick,(none),Paul Pryor,,,Dick Stello;Al Barlick;Paul Pryor,,
1970/04/30,1970,04,30,ATL197004300,Chicago Cubs,Atlanta Braves,Atlanta-Fulton County Stadium,Frank Secory,Bob Engel,Harry Wendelstedt,Tony Venzon,,,Frank Secory;Bob Engel;Harry Wendelstedt;Tony Venzon,,
1970/05/01,1970,05,01,ATL197005010,Chicago Cubs,Atlanta Braves,Atlanta-Fulton County Stadium,Bob Engel,Harry Wendelstedt,Tony Venzon,Frank Secory,,,Bob Engel;Harry Wendelstedt;Tony Venzon;Frank Secory,,
