Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1901/04/26,1901,04,26,BLA190104260,Boston Red Sox,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/04/27,1901,04,27,BLA190104270,Boston Red Sox,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/05/08,1901,05,08,BLA190105080,Washington Senators,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/05/11,1901,05,11,BLA190105110,Philadelphia Athletics,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/05/13,1901,05,13,BLA190105130,Philadelphia Athletics,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/05/14,1901,05,14,BLA190105140,Philadelphia Athletics,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/05/15,1901,05,15,BLA190105150,Philadelphia Athletics,Baltimore Orioles,,Joe Cantillon,"(none)","(none)","(none)",,,Joe Cantillon,,
1901/06/07,1901,06,07,BLA190106070,Cleveland Guardians,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/08,1901,06,08,BLA190106080,Cleveland Guardians,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/10,1901,06,10,BLA190106100,Cleveland Guardians,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/11,1901,06,11,BLA190106110,Cleveland Guardians,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/12,1901,06,12,BLA190106120,Chicago White Sox,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/13,1901,06,13,BLA190106130,Chicago White Sox,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/14,1901,06,14,BLA190106140,Chicago White Sox,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/17,1901,06,17,BLA190106170,Milwaukee Brewers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/18,1901,06,18,BLA190106180,Milwaukee Brewers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/19,1901,06,19,BLA190106190,Milwaukee Brewers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/20,1901,06,20,BLA190106200,Milwaukee Brewers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/21,1901,06,21,BLA190106210,Detroit Tigers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/22,1901,06,22,BLA190106220,Detroit Tigers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
1901/06/24,1901,06,24,BLA190106240,Detroit Tigers,Baltimore Orioles,,Jack Sheridan,Tommy Connolly,"(none)","(none)",,,Jack Sheridan;Tommy Connolly,,
