Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/07/03,1940,07,03,BOS194007030,Philadelphia Athletics,Boston Red Sox,Fenway Park,Eddie Rommel,George Moriarty,(none),Cal Hubbard,,,Eddie Rommel;George Moriarty;Cal Hubbard,,
1940/07/04,1940,07,04,BOS194007041,New York Yankees,Boston Red Sox,Fenway Park,George Moriarty,Cal Hubbard,(none),Eddie Rommel,,,George Moriarty;Cal Hubbard;Eddie Rommel,Lefty Gomez ejected by George Moriarty,
1940/07/04,1940,07,04,BOS194007042,New York Yankees,Boston Red Sox,Fenway Park,Cal Hubbard,Eddie Rommel,(none),George Moriarty,,,Cal Hubbard;Eddie Rommel;George Moriarty,Jake Powell ejected by George Moriarty,
1940/07/11,1940,07,11,BOS194007110,Chicago White Sox,Boston Red Sox,Fenway Park,Harry Geisel,Steve Basil,(none),Joe Rue,,,Harry Geisel;Steve Basil;Joe Rue,,
1940/07/13,1940,07,13,BOS194007131,Chicago White Sox,Boston Red Sox,Fenway Park,Steve Basil,Joe Rue,(none),Harry Geisel,,,Steve Basil;Joe Rue;Harry Geisel,,
1940/07/13,1940,07,13,BOS194007132,Chicago White Sox,Boston Red Sox,Fenway Park,Joe Rue,Harry Geisel,(none),Steve Basil,,,Joe Rue;Harry Geisel;Steve Basil,,
1940/07/14,1940,07,14,BOS194007141,St.Louis Browns,Boston Red Sox,Fenway Park,Harry Geisel,Steve Basil,(none),Joe Rue,,,Harry Geisel;Steve Basil;Joe Rue,,
1940/07/14,1940,07,14,BOS194007142,St.Louis Browns,Boston Red Sox,Fenway Park,Steve Basil,Joe Rue,(none),Harry Geisel,,,Steve Basil;Joe Rue;Harry Geisel,,
1940/07/15,1940,07,15,BOS194007150,St.Louis Browns,Boston Red Sox,Fenway Park,Joe Rue,Harry Geisel,(none),Steve Basil,,,Joe Rue;Harry Geisel;Steve Basil,Fred Haney ejected by Joe Rue;Fred Hofmann ejected by Joe Rue,
1940/07/17,1940,07,17,BOS194007171,Detroit Tigers,Boston Red Sox,Fenway Park,Red Ormsby,Bill McGowan,John Quinn,George Pipgras,,,Red Ormsby;Bill McGowan;John Quinn;George Pipgras,,
1940/07/17,1940,07,17,BOS194007172,Detroit Tigers,Boston Red Sox,Fenway Park,Bill McGowan,John Quinn,George Pipgras,Red Ormsby,,,Bill McGowan;John Quinn;George Pipgras;Red Ormsby,,
1940/07/18,1940,07,18,BOS194007180,Detroit Tigers,Boston Red Sox,Fenway Park,John Quinn,George Pipgras,Red Ormsby,Bill McGowan,,,John Quinn;George Pipgras;Red Ormsby;Bill McGowan,,
1940/07/19,1940,07,19,BOS194007190,Detroit Tigers,Boston Red Sox,Fenway Park,George Pipgras,Red Ormsby,Bill McGowan,John Quinn,,,George Pipgras;Red Ormsby;Bill McGowan;John Quinn,,
1940/07/20,1940,07,20,BOS194007200,Cleveland Indians,Boston Red Sox,Fenway Park,Red Ormsby,Bill McGowan,John Quinn,George Pipgras,,,Red Ormsby;Bill McGowan;John Quinn;George Pipgras,,
1940/07/21,1940,07,21,BOS194007211,Cleveland Indians,Boston Red Sox,Fenway Park,Bill McGowan,John Quinn,George Pipgras,Red Ormsby,,,Bill McGowan;John Quinn;George Pipgras;Red Ormsby,Roy Weatherly ejected by Bill McGowan,
1940/07/21,1940,07,21,BOS194007212,Cleveland Indians,Boston Red Sox,Fenway Park,John Quinn,George Pipgras,Red Ormsby,Bill McGowan,,,John Quinn;George Pipgras;Red Ormsby;Bill McGowan,,
1940/08/05,1940,08,05,BOS194008050,New York Yankees,Boston Red Sox,Fenway Park,Bill McGowan,Lou Kolls,(none),Joe Rue,,,Bill McGowan;Lou Kolls;Joe Rue,,
1940/08/06,1940,08,06,BOS194008060,New York Yankees,Boston Red Sox,Fenway Park,Lou Kolls,Joe Rue,(none),Bill McGowan,,,Lou Kolls;Joe Rue;Bill McGowan,,
1940/08/07,1940,08,07,BOS194008071,New York Yankees,Boston Red Sox,Fenway Park,Joe Rue,Bill McGowan,(none),Lou Kolls,,,Joe Rue;Bill McGowan;Lou Kolls,,
